municipio,estabelecimentos,cidade,uf,percentual_total
Palma Sola - SC,6,Palma Sola,SC,0.028608210556429696
Paraíso - SC,6,Paraíso,SC,0.028608210556429696
Passos Maia - SC,6,Passos Maia,SC,0.028608210556429696
Rancho Queimado - SC,6,Rancho Queimado,SC,0.028608210556429696
Salto Veloso - SC,6,Salto Veloso,SC,0.028608210556429696
São Cristovão do Sul - SC,6,São Cristovão do Sul,SC,0.028608210556429696
Serra Alta - SC,6,Serra Alta,SC,0.028608210556429696
Abdon Batista - SC,5,Abdon Batista,SC,0.023840175463691413
Agronômica - SC,5,Agronômica,SC,0.023840175463691413
Arabutã - SC,5,Arabutã,SC,0.023840175463691413
Bandeirante - SC,5,Bandeirante,SC,0.023840175463691413
Belmonte - SC,5,Belmonte,SC,0.023840175463691413
Guarujá do Sul - SC,5,Guarujá do Sul,SC,0.023840175463691413
Lacerdópolis - SC,5,Lacerdópolis,SC,0.023840175463691413
Marema - SC,5,Marema,SC,0.023840175463691413
Matos Costa - SC,5,Matos Costa,SC,0.023840175463691413
Mirim Doce - SC,5,Mirim Doce,SC,0.023840175463691413
Nova Itaberaba - SC,5,Nova Itaberaba,SC,0.023840175463691413
Pinheiro Preto - SC,5,Pinheiro Preto,SC,0.023840175463691413
Rio do Campo - SC,5,Rio do Campo,SC,0.023840175463691413
São Bernardino - SC,5,São Bernardino,SC,0.023840175463691413
São Bonifácio - SC,5,São Bonifácio,SC,0.023840175463691413
São Pedro de Alcântara - SC,5,São Pedro de Alcântara,SC,0.023840175463691413
Vargem Bonita - SC,5,Vargem Bonita,SC,0.023840175463691413
Xavantina - SC,5,Xavantina,SC,0.023840175463691413
Angelina - SC,4,Angelina,SC,0.01907214037095313
Arvoredo - SC,4,Arvoredo,SC,0.01907214037095313
Atalanta - SC,4,Atalanta,SC,0.01907214037095313
Erval Velho - SC,4,Erval Velho,SC,0.01907214037095313
Formosa do Sul - SC,4,Formosa do Sul,SC,0.01907214037095313
Ibicaré - SC,4,Ibicaré,SC,0.01907214037095313
Ipira - SC,4,Ipira,SC,0.01907214037095313
Rio Fortuna - SC,4,Rio Fortuna,SC,0.01907214037095313
Romelândia - SC,4,Romelândia,SC,0.01907214037095313
São Miguel da Boa Vista - SC,4,São Miguel da Boa Vista,SC,0.01907214037095313
Timbó Grande - SC,4,Timbó Grande,SC,0.01907214037095313
Vargeão - SC,4,Vargeão,SC,0.01907214037095313
Zortéa - SC,4,Zortéa,SC,0.01907214037095313
Arroio Trinta - SC,3,Arroio Trinta,SC,0.014304105278214848
Bom Jesus - SC,3,Bom Jesus,SC,0.014304105278214848
Capão Alto - SC,3,Capão Alto,SC,0.014304105278214848
Dona Emma - SC,3,Dona Emma,SC,0.014304105278214848
Ermo - SC,3,Ermo,SC,0.014304105278214848
Galvão - SC,3,Galvão,SC,0.014304105278214848
Iraceminha - SC,3,Iraceminha,SC,0.014304105278214848
Jardinópolis - SC,3,Jardinópolis,SC,0.014304105278214848
Leoberto Leal - SC,3,Leoberto Leal,SC,0.014304105278214848
Major Gercino - SC,3,Major Gercino,SC,0.014304105278214848
Novo Horizonte - SC,3,Novo Horizonte,SC,0.014304105278214848
Paial - SC,3,Paial,SC,0.014304105278214848
Petrolândia - SC,3,Petrolândia,SC,0.014304105278214848
Rio Rufino - SC,3,Rio Rufino,SC,0.014304105278214848
Saltinho - SC,3,Saltinho,SC,0.014304105278214848
Santiago do Sul - SC,3,Santiago do Sul,SC,0.014304105278214848
Tigrinhos - SC,3,Tigrinhos,SC,0.014304105278214848
Timbé do Sul - SC,3,Timbé do Sul,SC,0.014304105278214848
Treviso - SC,3,Treviso,SC,0.014304105278214848
Urupema - SC,3,Urupema,SC,0.014304105278214848
Witmarsum - SC,3,Witmarsum,SC,0.014304105278214848
Bela Vista do Toldo - SC,2,Bela Vista do Toldo,SC,0.009536070185476565
Chapadão do Lageado - SC,2,Chapadão do Lageado,SC,0.009536070185476565
Flor do Sertão - SC,2,Flor do Sertão,SC,0.009536070185476565
Ibiam - SC,2,Ibiam,SC,0.009536070185476565
Iomerê - SC,2,Iomerê,SC,0.009536070185476565
Irati - SC,2,Irati,SC,0.009536070185476565
Jupiá - SC,2,Jupiá,SC,0.009536070185476565
Lindóia do Sul - SC,2,Lindóia do Sul,SC,0.009536070185476565
Morro Grande - SC,2,Morro Grande,SC,0.009536070185476565
Ouro Verde - SC,2,Ouro Verde,SC,0.009536070185476565
Painel - SC,2,Painel,SC,0.009536070185476565
Palmeira - SC,2,Palmeira,SC,0.009536070185476565
Peritiba - SC,2,Peritiba,SC,0.009536070185476565
Ponte Alta do Norte - SC,2,Ponte Alta do Norte,SC,0.009536070185476565
Presidente Castello Branco - SC,2,Presidente Castello Branco,SC,0.009536070185476565
Princesa - SC,2,Princesa,SC,0.009536070185476565
Santa Terezinha - SC,2,Santa Terezinha,SC,0.009536070185476565
Santa Terezinha do Progresso - SC,2,Santa Terezinha do Progresso,SC,0.009536070185476565
União do Oeste - SC,2,União do Oeste,SC,0.009536070185476565
Vargem - SC,2,Vargem,SC,0.009536070185476565
Bocaina do Sul - SC,1,Bocaina do Sul,SC,0.004768035092738283
Bom Jesus do Oeste - SC,1,Bom Jesus do Oeste,SC,0.004768035092738283
Calmon - SC,1,Calmon,SC,0.004768035092738283
Caxambu do Sul - SC,1,Caxambu do Sul,SC,0.004768035092738283
Celso Ramos - SC,1,Celso Ramos,SC,0.004768035092738283
Cunhataí - SC,1,Cunhataí,SC,0.004768035092738283
Entre Rios - SC,1,Entre Rios,SC,0.004768035092738283
Frei Rogério - SC,1,Frei Rogério,SC,0.004768035092738283
José Boiteux - SC,1,José Boiteux,SC,0.004768035092738283
Lajeado Grande - SC,1,Lajeado Grande,SC,0.004768035092738283
Planalto Alegre - SC,1,Planalto Alegre,SC,0.004768035092738283
Presidente Nereu - SC,1,Presidente Nereu,SC,0.004768035092738283
Riqueza - SC,1,Riqueza,SC,0.004768035092738283
Santa Helena - SC,1,Santa Helena,SC,0.004768035092738283
Santa Rosa de Lima - SC,1,Santa Rosa de Lima,SC,0.004768035092738283
Sul Brasil - SC,1,Sul Brasil,SC,0.004768035092738283
